name,price,point,shipping,mall
"[단, 하루만 단독 찐 특.가 144만]LG전자 울트라기어 17UD70N-PX76K/고사양 게이밍 노","1,679,000",2%,무료배송,LG아시아총판_스마트탑
일동후디스 하이뮨 프로틴 밸런스 296g x 1통 /An,"23,900",478P,무료배송,주식회사아나이스
[제스프리] 제스프리 그린키위 1.8kg / 3kg 골라담기 (오직 대과로만!),"11,300",226P,무료배송,제스프리몰
[행필품] 아이러브베베 엠보싱아기물티슈 블루80매X20팩,"12,900",645P,무료배송,BabyWetTissue
[20%쿠폰+T11%]크로커다일 외 심리스 감탄브라 단독 SALE!,"10,000",200P,무료배송,원더브라본사
루메나 N9-FAN MINI 라인프렌즈 브라운/샐리,"19,500","1,000P",무료배송,SpaceWick
[25%쿠폰][파슬코리아] 본사정품! 가방/지갑 최대 69%,"27,000",540P,무료배송,fossilkorea
[5만원권] 컬쳐랜드 상품권 문상 문화상품권,"47,750",540P,무료배송,기프티콘_11번가
[20%쿠폰+T11%]원더브라 최신상 브라/팬티 1종 균일가 LINEUP!,"6,500",130P,무료배송,원더브라본사
컬러장인 롬앤 NEW가을 벨벳틴트 단독1+1 외 BEST 선필터/쿠션/매트쿠션/립스틱/치크),"10,900",218P,무료배송,롬앤공식스토어
[10+20%중복] 20FW 고워크 선오픈 / 아울렛 최대 70%OFF 인기상품,"27,200",544P,무료배송,스케쳐스
[기프티콘] 커피빈 카드 상품권(1만원),"8,700",544P,무료배송,기프티콘_11번가
GC녹십자 포스트바이오틱스 30포 x 1박스 /An 마이크로바이옴,"17,400",348P,무료배송,주식회사아나이스
[바로생수] 농심 백산수 2L 12병 생수,"9,990",199P,무료배송,백산수공식몰
[5%+20%]베비언스 킨더밀쉬 1-2단계 24입/ 홍삼 24입,"30,900",618P,무료배송,LG생활건강공식샵
[조선호텔김치] 피코크 조선호텔 포기김치 8kg,"62,900","1,258P",무료배송,조선호텔김치
국산 멜트블로운 마스크 대형 50매 국내생산 안전인증 3중필터 일회용마스크 비말차단,"9,800",196P,무료배송,바이온컴퍼니
국내산 비말차단 일회용 덴탈 마스크 50매 외 KF94 마스크 3중필터 4중필터 2D 3D 새부,"6,900",138P,무료배송,바나다몰
LG TR14WK1 통돌이 세탁기 14kg 스마트 인버터모터,"395,180",138P,무료배송,goutte
삼성 그랑데 AI 건조기 16kg DV16T8740BP / 리모컨형,"1,289,000",138P,무료배송,삼성공식파트너하나로
[안다르본사] 9월 최신상품을 모두 한자리에! /요가복/필라테스/레깅스/에어쿨링/트레,"9,900",198P,무료배송,안다르
몽블랑 명함지갑 볼펜 벨트 클러치 핸드폰케이스 팔찌 시즌오프 기획전,"45,000",900P,무료배송,유로피플
[4+1] 쿤달 26가지향 샴푸 트리트먼트 바디워시 바디로션 헤어에센스 등,"7,900",158P,무료배송,더스킨팩토리
[누비] 스텐빨대컵/스텐물병/트라이탄빨대컵/물놀이장난감,"14,900",298P,무료배송,엠앤비솔루션즈
[주문폭주! 177만원대][가성비킹/10세대 i7/RTX2070]ASUS ROG G712LW-EV010 게이밍 17,"1,899,000","1,000P",무료배송,해오름씨앤씨
공식인증 마이크로SD카드 EVO PLUS 256GB MB-MC256HA/KR,"46,090","1,382P",무료배송,삼성공식파트너사
[4개구매시25%추가인하] 종근당건강 홍삼녹용 프리미엄 선물세트 1세트,"19,900",398P,무료배송,종근당건강본사직영
[30%쿠폰][3M]후레쉬 위생장갑 100+100매 3개세트(총600매) 외 주방용품 53종,"13,100",262P,무료배송,3M공식대리점
[리바트]꼼므 1200 아이책상+의자 세트 (핑크/블루),"125,320","2,506P",무료배송,현대리바트
[본사직영] 롯데칠성 탄산 트레비 300ml/500ml (레몬/라임/자몽/플레인),"9,880",197P,무료배송,롯데칠성음료본사직영
